gene
A1BG
A1BG-AS1
A2M
A2M-AS1
A2ML1
A4GALT
AAAS
AACS
AADAT
AAGAB
AAK1
AAMDC
AAMP
AANAT
AAR2
AARD
AARS1
AARS2
AARSD1
AASDH
AASDHPPT
AASS
AATBC
AATF
AATK
ABAT
ABCA1
ABCA10
ABCA12
ABCA13
ABCA2
ABCA3
ABCA4
ABCA5
ABCA6
ABCA7
ABCA8
ABCA9
ABCB1
ABCB10
ABCB11
ABCB4
ABCB5
ABCB6
ABCB7
ABCB8
ABCB9
ABCC1
ABCC10
ABCC11
ABCC2
ABCC3
ABCC4
ABCC5
ABCC6
ABCC8
ABCC9
ABCD1
ABCD2
ABCD3
ABCD4
ABCE1
ABCF1
ABCF2
ABCF3
ABCG1
ABCG2
ABCG4
ABCG5
ABCG8
ABHD1
ABHD10
ABHD11
ABHD12
ABHD12B
ABHD13
ABHD14A
ABHD14A-ACY1
ABHD14B
ABHD15
ABHD16A
ABHD17A
ABHD17B
ABHD17C
ABHD18
ABHD2
ABHD3
ABHD4
ABHD5
ABHD6
ABHD8
ABI1
ABI2
ABI3
ABI3BP
ABITRAM
ABL1
ABL2
ABLIM1
ABLIM2
ABLIM3
ABO
ABR
ABRACL
ABRAXAS1
ABRAXAS2
ABT1
ABTB1
ABTB2
AC000068.1
AC000068.2
AC000072.1
AC000085.1
AC000093.1
AC000120.1
AC000123.1
AC000403.1
AC001226.1
AC001226.2
AC002059.1
AC002070.1
AC002091.1
AC002091.2
AC002116.2
AC002128.1
AC002128.2
AC002310.1
AC002347.1
AC002398.1
AC002451.1
AC002456.1
AC002463.1
AC002467.1
AC002470.1
AC002480.1
AC002480.2
AC002519.1
AC002542.6
AC002550.2
AC002553.1
AC002553.2
AC003002.2
AC003070.1
AC003086.1
AC003101.2
AC003102.1
AC003681.1
AC003956.1
AC003965.1
AC004000.1
AC004034.1
AC004039.1
AC004067.1
AC004069.1
AC004076.2
AC004112.1
AC004130.2
AC004148.1
AC004156.1
AC004160.1
AC004223.2
AC004223.4
AC004233.1
AC004233.2
AC004233.3
AC004241.1
AC004241.2
AC004241.3
AC004253.1
AC004263.1
AC004263.2
AC004264.1
AC004381.1
AC004449.1
AC004461.2
AC004471.1
AC004477.2
AC004492.1
AC004494.1
AC004522.5
AC004540.1
AC004540.2
AC004554.1
AC004584.1
AC004585.1
AC004594.1
AC004596.1
AC004687.1
AC004687.2
AC004706.1
AC004706.3
AC004765.1
AC004771.2
AC004801.6
AC004803.1
AC004812.2
AC004816.1
AC004816.2
AC004825.2
AC004825.3
AC004830.2
AC004832.4
AC004832.5
AC004832.6
AC004834.1
AC004837.2
AC004837.4
AC004839.2
AC004846.1
AC004846.2
AC004847.1
AC004854.2
AC004863.1
AC004877.1
AC004882.3
AC004884.2
AC004893.2
AC004895.1
AC004900.1
AC004908.1
AC004908.2
AC004908.3
AC004917.1
AC004918.1
AC004918.3
AC004921.1
AC004922.1
AC004923.4
AC004938.2
AC004943.1
AC004943.2
AC004947.3
AC004948.1
AC004951.1
AC004951.4
AC004967.2
AC004982.1
AC004982.2
AC005005.3
AC005005.4
AC005014.2
AC005014.3
AC005034.2
AC005034.4
AC005034.5
AC005034.6
AC005041.1
AC005041.3
AC005046.1
AC005050.1
AC005052.2
AC005070.3
AC005076.1
AC005081.1
AC005082.1
AC005083.1
AC005089.1
AC005104.1
AC005154.4
AC005162.2
AC005165.1
AC005180.2
AC005224.2
AC005224.3
AC005225.1
AC005225.2
AC005229.4
AC005253.1
AC005261.1
AC005264.1
AC005288.1
AC005324.2
AC005324.4
AC005329.3
AC005330.1
AC005332.1
AC005332.2
AC005332.3
AC005332.5
AC005332.6
AC005332.7
AC005343.4
AC005363.2
AC005387.1
AC005387.2
AC005393.1
AC005400.1
AC005410.2
AC005476.2
AC005479.1
AC005479.2
AC005480.1
AC005498.2
AC005498.3
AC005519.1
AC005520.2
AC005520.5
AC005523.1
AC005532.1
AC005562.1
AC005586.1
AC005594.1
AC005606.2
AC005618.1
AC005618.4
AC005632.3
AC005632.6
AC005670.1
AC005670.3
AC005674.1
AC005696.1
AC005696.3
AC005696.4
AC005722.3
AC005730.3
AC005740.4
AC005746.1
AC005753.1
AC005753.3
AC005759.1
AC005775.1
AC005776.2
AC005785.1
AC005837.1
AC005840.2
AC005840.4
AC005856.1
AC005899.6
AC005899.7
AC005899.8
AC005911.1
AC005962.1
AC005962.2
AC006001.2
AC006008.1
AC006017.1
AC006026.3
AC006033.2
AC006042.1
AC006042.3
AC006058.1
AC006059.1
AC006064.2
AC006064.3
AC006111.2
AC006115.2
AC006116.7
AC006116.9
AC006130.3
AC006160.1
AC006213.1
AC006213.2
AC006213.3
AC006213.4
AC006213.5
AC006213.7
AC006230.1
AC006238.1
AC006252.1
AC006254.1
AC006262.1
AC006272.1
AC006273.1
AC006299.1
AC006369.1
AC006435.2
AC006449.2
AC006449.5
AC006449.6
AC006460.1
AC006460.2
AC006480.2
AC006504.1
AC006504.5
AC006504.7
AC006538.1
AC006547.1
AC006557.1
AC007014.2
AC007036.1
AC007038.1
AC007040.2
AC007066.2
AC007098.1
AC007114.1
AC007114.2
AC007216.2
AC007216.3
AC007216.4
AC007220.1
AC007240.3
AC007255.1
AC007262.2
AC007279.1
AC007285.1
AC007292.1
AC007292.2
AC007319.1
AC007336.1
AC007376.2
AC007383.1
AC007384.1
AC007389.1
AC007390.1
AC007405.1
AC007405.3
AC007406.3
AC007406.4
AC007448.4
AC007448.5
AC007485.1
AC007497.1
AC007541.1
AC007546.1
AC007566.1
AC007569.1
AC007608.3
AC007611.1
AC007613.1
AC007614.1
AC007619.1
AC007622.2
AC007637.1
AC007663.2
AC007663.3
AC007663.4
AC007666.1
AC007681.1
AC007684.2
AC007686.3
AC007695.1
AC007728.2
AC007743.1
AC007750.1
AC007773.1
AC007780.1
AC007785.3
AC007786.1
AC007823.1
AC007877.1
AC007878.1
AC007879.3
AC007881.3
AC007881.4
AC007906.2
AC007920.2
AC007938.3
AC007950.2
AC007996.1
AC007998.3
AC008014.1
AC008026.3
AC008035.1
AC008050.1
AC008073.2
AC008074.2
AC008079.1
AC008083.3
AC008105.1
AC008105.3
AC008115.3
AC008115.4
AC008119.1
AC008121.2
AC008124.1
AC008147.2
AC008149.2
AC008264.2
AC008269.1
AC008280.2
AC008393.1
AC008403.3
AC008429.1
AC008434.1
AC008438.1
AC008443.4
AC008453.2
AC008467.1
AC008494.3
AC008507.4
AC008537.2
AC008537.4
AC008543.1
AC008543.3
AC008543.4
AC008555.1
AC008555.2
AC008555.4
AC008556.1
AC008569.2
AC008608.2
AC008610.1
AC008622.2
AC008629.1
AC008655.2
AC008663.2
AC008676.1
AC008676.3
AC008687.4
AC008731.1
AC008735.1
AC008735.2
AC008735.4
AC008736.1
AC008736.2
AC008750.4
AC008752.2
AC008758.4
AC008759.2
AC008760.1
AC008760.2
AC008763.1
AC008764.2
AC008764.6
AC008764.8
AC008770.3
AC008771.1
AC008781.2
AC008840.1
AC008870.2
AC008870.4
AC008875.1
AC008875.2
AC008875.3
AC008883.3
AC008894.2
AC008897.3
AC008906.1
AC008906.2
AC008915.1
AC008915.2
AC008937.3
AC008945.2
AC008946.1
AC008957.1
AC008966.1
AC008966.2
AC008969.1
AC008972.1
AC008972.2
AC008982.2
AC009005.1
AC009019.1
AC009032.1
AC009041.3
AC009053.2
AC009053.3
AC009054.2
AC009061.2
AC009065.2
AC009065.4
AC009065.5
AC009065.8
AC009087.1
AC009088.1
AC009090.1
AC009090.3
AC009090.6
AC009093.1
AC009093.2
AC009093.6
AC009107.2
AC009108.3
AC009113.1
AC009119.1
AC009120.2
AC009120.3
AC009120.5
AC009121.2
AC009121.3
AC009126.1
AC009133.1
AC009133.3
AC009137.2
AC009148.1
AC009159.3
AC009163.7
AC009171.2
AC009226.1
AC009228.1
AC009237.14
AC009237.15
AC009242.1
AC009268.2
AC009269.5
AC009271.1
AC009275.1
AC009283.1
AC009299.2
AC009309.1
AC009318.1
AC009318.2
AC009318.3
AC009318.4
AC009403.1
AC009403.2
AC009404.1
AC009486.2
AC009506.1
AC009509.1
AC009509.4
AC009549.1
AC009554.2
AC009570.1
AC009630.1
AC009630.4
AC009686.2
AC009690.1
AC009690.2
AC009704.2
AC009716.1
AC009754.1
AC009779.2
AC009779.3
AC009802.1
AC009806.1
AC009812.1
AC009812.3
AC009812.4
AC009831.1
AC009902.2
AC009902.3
AC009948.1
AC009948.2
AC009950.1
AC009951.6
AC009961.1
AC009961.3
AC009962.1
AC009974.1
AC009996.1
AC010092.1
AC010132.4
AC010148.1
AC010168.2
AC010173.1
AC010186.3
AC010198.2
AC010201.1
AC010201.2
AC010201.3
AC010203.2
AC010207.1
AC010210.1
AC010226.1
AC010240.3
AC010245.2
AC010247.1
AC010247.2
AC010260.1
AC010271.1
AC010271.2
AC010273.2
AC010273.3
AC010280.2
AC010285.3
AC010300.1
AC010319.3
AC010319.4
AC010320.3
AC010325.1
AC010326.3
AC010327.5
AC010327.6
AC010327.7
AC010327.8
AC010331.1
AC010332.3
AC010336.1
AC010336.7
AC010359.2
AC010359.3
AC010378.1
AC010401.1
AC010422.1
AC010422.2
AC010422.4
AC010422.8
AC010463.3
AC010487.1
AC010491.1
AC010491.2
AC010503.4
AC010504.1
AC010524.1
AC010525.1
AC010530.1
AC010531.3
AC010531.5
AC010531.6
AC010536.1
AC010536.2
AC010538.1
AC010542.5
AC010615.2
AC010618.2
AC010618.3
AC010619.2
AC010624.1
AC010624.3
AC010642.2
AC010643.1
AC010654.1
AC010680.2
AC010719.1
AC010735.2
AC010754.1
AC010761.1
AC010761.3
AC010761.4
AC010809.1
AC010809.2
AC010834.2
AC010834.3
AC010864.1
AC010883.1
AC010883.2
AC010883.3
AC010894.1
AC010894.2
AC010896.1
AC010913.1
AC010931.1
AC010969.2
AC010973.1
AC010973.2
AC010976.1
AC010976.2
AC010980.1
AC010996.1
AC010997.4
AC010999.1
AC011005.1
AC011005.4
AC011247.1
AC011287.1
AC011317.1
AC011322.1
AC011330.2
AC011337.1
AC011346.1
AC011379.1
AC011379.2
AC011388.1
AC011405.1
AC011407.1
AC011416.3
AC011416.4
AC011444.1
AC011445.1
AC011447.3
AC011448.1
AC011450.1
AC011451.3
AC011451.4
AC011455.8
AC011461.1
AC011462.4
AC011462.5
AC011466.1
AC011466.3
AC011468.1
AC011468.3
AC011468.5
AC011472.1
AC011472.2
AC011472.4
AC011476.2
AC011476.3
AC011477.1
AC011477.2
AC011479.2
AC011479.3
AC011481.1
AC011481.2
AC011484.1
AC011498.1
AC011498.6
AC011503.2
AC011511.5
AC011603.2
AC011773.3
AC011815.1
AC011815.2
AC011816.2
AC011825.2
AC011825.4
AC011899.2
AC011912.1
AC011921.1
AC011933.3
AC011944.1
AC011978.2
AC012020.1
AC012063.1
AC012065.2
AC012073.1
AC012076.1
AC012085.2
AC012101.2
AC012181.1
AC012181.2
AC012184.3
AC012186.2
AC012213.2
AC012213.3
AC012236.1
AC012254.3
AC012291.3
AC012306.2
AC012306.3
